"chem","synonyms","cas","reference","Categories of Use","Use References","Date Added","Date Updated",,,
"tributyltin oxide","TBT oxide; TBTO; bis(tributyltin) oxide; bis(tri-n-butyltin)oxide","56-35-9","Baken KA, Arkusz J, Pennings JL, Vandebriel RJ, van Loveren H. 2007. In vitro immunotoxicity of bis(tri-n-butyltin)oxide (TBTO) studied by toxicogenomics. Toxicology 237(1-3):35-48. DOI: 10.1016/j.tox.2007.04.018. URL: http://www.sciencedirect.com/science/article/pii/S0300483X07002545?via%3Dihub  Crofton KM, Dean KF, Boncek VM, Rosen MB, Sheets LP, Chernoff N, Reiter LW. 1989. Prenatal or postnatal exposure to bis(tri-n-butyltin)oxide in the rat: postnatal evaluation of teratology and behavior. Toxicol Appl Pharmacol 97(1):113-123. DOI: 10.1016/0041-008X(89)90060-4 Get . URL: http://www.sciencedirect.com/science/article/pii/0041008X89900604  Wester PW, Krajnc EI, van Leeuwen FX, Loeber JG, van der Heijden CA, Vaessen HA, Helleman PW. 1990. Chronic toxicity and carcinogenicity of bis(tri-n-butyltin)oxide (TBTO) in the rat. Food Chem Toxicol 28(3):179-196. DOI: 10.1016/0278-6915(90)90006-9. URL: https://www.sciencedirect.com/science/article/pii/0278691590900069","Antimicrobial, Byproduct/Intermediate/Reactant, Household product ingredient, Industrial additive, Pesticide ingredient, Plastic/Rubber","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","04/27/2015",,,
"trichlorfon"," ","52-68-6","Nicolau GY. 1983. Circadian rhythms of RNA, DNA and protein in the rat thyroid, adrenal and testis in chronic pesticide exposure III. Effects of the insecticides (dichlorvos and trichlorphon). Rev. Roum. Morphology Embryology & Physiology 20(2):93-101. URL: https://www.ncbi.nlm.nih.gov/pubmed/6196799","Household product ingredient, Medical/Veterinary/Research, Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","04/27/2015",,,
"trichloroacetic acid","TCAA","76-03-9","Cosby NC, Dukelow WR. 1992. Toxicology of maternally ingested trichloroethylene (TCE) on embryonal and fetal development in mice and of TCE metabolites on in vitro fertilization. Fundam Appl Toxicol 19(2):268-274. DOI: 10.1016/0272-0590(92)90160-J. URL: http://www.sciencedirect.com/science/article/pii/027205909290160J  Van den Berg KJ, van Raaij JAGM, Bragt PC, Notten WRF. 1991. Interactions of halogenated industrial chemicals with transthyretin and effects on thyroid hormone levels in vivo. Arch Toxicol 65(1):15-19. DOI: 10.1007/BF01973497. URL: https://link.springer.com/article/10.1007/BF01973497","Byproduct/Intermediate/Reactant, Industrial additive, Medical/Veterinary/Research, Pesticide ingredient, Plastic/Rubber","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"trichloroethanol","TCOH","115-20-8","Cosby NC, Dukelow WR. 1992. Toxicology of maternally ingested trichloroethylene (TCE) on embryonal and fetal development in mice and of TCE metabolites on in vitro fertilization. Fundam Appl Toxicol 19(2):268-274. DOI: 10.1016/0272-0590(92)90160-J. URL: http://www.sciencedirect.com/science/article/pii/027205909290160J","Byproduct/Intermediate/Reactant, Medical/Veterinary/Research","LookChem URL: http://www.lookchem.com/TRICHLOROETHANOL/","05/05/2011","05/05/2011",,,
"trichloroethylene","trichloroethene; 1,1,2-trichloroethene","79-01-6","Chia, S.E., Goh, V.H.H. and Ong, C.N., 1997. Endocrine profiles of male workers with exposure to trichloroethylene. American journal of industrial medicine, 32(3), pp.217-222. DOI: 10.1002/(SICI)1097-0274(199709)32:3<217::AID-AJIM6>3.0.CO;2-U . URL: https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1097-0274(199709)32:3%3C217::AID-AJIM6%3E3.0.CO;2-U  Kumar, P., Prasad, A.K. and Dutta, K.K., 2000. Steroidogenic alterations in testes and sera of rats exposed to trichioroethylene (TCE) by inhalation. Human & experimental toxicology, 19(2), pp.117-121. DOI: 10.1191/096032700678815657. URL: http://journals.sagepub.com/doi/abs/10.1191/096032700678815657","Byproduct/Intermediate/Reactant, Food additives and contact material, Household product ingredient, Medical/Veterinary/Research, Metal/Metallurgy, Pesticide ingredient, Plastic/Rubber, Solvent","Groh, K.J., Backhaus, T., Carney-Almroth, B., Geueke, B., Inostroza, P.A., Lennquist, A., Maffini, M., Leslie, H.A., Slunge, D., Trasande, L. and Warhurst, M., 2018. Chemicals associated with plastic packaging: Inventory and hazards. PeerJ Preprints, 6, p.e27036v1. DOI: 10.7287/peerj.preprints.27036v1. URL: https://peerj.com/preprints/27036/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","09/26/2018",,,,
"triclocarban","TCC; 3,4,4'-trichlorocarbanilide; N-(chloro)-N'-(3,4-dichloro)-phenylurea (CDCPU)","101-20-2","Ahn KC, Zhao B, Chen J, Cherednichenko G, Sanmarti E, Denison MS, Lasley B, Pessah IN, Kultz D, Chang DPY, Gee SJ, Hammock BD. 2008. In vitro biologic activities of the antimicrobials triclocarban, its analogs, and triclosan in bioassay screens: Receptor-based bioassay screens. Environ Health Perspect 116(9):1203-1210. DOI: 10.1289/ehp.11200. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2535623/  Chen J, Ahn KC, Gee NA, Mohamed MI, Duleba AJ, Zhao L, Gee SJ, Hammock BD, Lasley BL. 2007. Triclocarban enhances testosterone action: A new type of endocrine disruptor? Endocrinology 149(3):1173-1179. DOI: 10.1210/en.2007-1057. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2275366/  Chung E, Genco MC, Megrelis L, Ruderman JV. 2011. Effects of bisphenol A and triclocarban on brain-specific expression of aromatase in early zebrafish embryos. Proc Natl Acad Sci U S A 108(43):17732-17737. DOI: 10.1073/pnas.1115187108. URL: http://www.pnas.org/content/108/43/17732.abstract","Antimicrobial, Household product ingredient, Personal care product/Cosmetic ingredient, Pesticide ingredient","US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","09/18/2017",,,
"triclosan","TCS; 2'-hydroxy-2,4,4'-trichlorodiphenyl ether; 2'-OH-PCDE-28; 2,4,4'-trichloro-2'-hydroxydiphenyl ether; Irgasan","3380-34-5","Ahn KC, Zhao B, Chen J, Cherednichenko G, Sanmarti E, Denison MS, Lasley B, Pessah IN, Kultz D, Chang DPY, Gee SJ, Hammock BD. 2008. In vitro biologic activities of the antimicrobials triclocarban, its analogs, and triclosan in bioassay screens: Receptor-based bioassay screens. Environ Health Perspect 116(9):1203-1210. DOI: 10.1289/ehp.11200. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2535623/  Zorrilla LM, Gibson EK, Jeffay SC, Crofton KM, Setzer WR, Cooper RL, Stoker TE. 2009. The effects of triclosan on puberty and thyroid hormones in male Wistar rats. Toxicol Sci 107(1):56-64. DOI: 10.1093/toxsci/kfn225. URL: https://academic.oup.com/toxsci/article/107/1/56/1664314","Antimicrobial, Household product ingredient, Industrial additive, Medical/Veterinary/Research, Personal care product/Cosmetic ingredient, Pesticide ingredient, Plastic/Rubber","US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US EPA. 2008. Reregistration Eligibility Decision for Triclosan.  URL: https://nepis.epa.gov/Exe/ZyNET.exe/P1001QGB.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=","05/05/2011","09/17/2013",,,
"tricyclazole"," ","41814-78-2","Sanderson JT, Boerma J, Lansbergen GW, van den Berg M. 2002. Induction and inhibition of aromatase (CYP19) activity by various classes of pesticides in H295R human adrenocortical carcinoma cells. Toxicol Appl Pharmacol 182(1):44-54. DOI: 10.1006/taap.2002.9420. URL: https://www.sciencedirect.com/science/article/pii/S0041008X02994202","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html","05/05/2011","05/05/2011",,,
"triethanolamine","trolamine; 2,2',2''-nitrilotriethanol; biafine; TEA","102-71-6","NTP. 1999. NTP Toxicology and Carcinogenesis Studies of Triethanolamine (CAS No. 102-71-6) in F344 Rats and B6C3F1 Mice (Dermal Studies). Natl Toxicol Program Tech Rep Ser 449:1-298. URL: https://ntp.niehs.nih.gov/results/pubs/longterm/reports/longterm/tr400499/abstracts/tr449/index.html","Byproduct/Intermediate/Reactant, Flame retardant, Food additives and contact material, Household product ingredient, Industrial additive, Medical/Veterinary/Research, Personal care product/Cosmetic ingredient, Pesticide ingredient, Plastic/Rubber, Solvent, Unconventional Oil and Gas","Chemical and Product Categories (CPCAT)  URL: https://actor.epa.gov/cpcat/faces/home.xhtml  US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB  Waxman HA, Markey EJ, and DeGette D. 2011. Chemicals used in hydraulic fracturing. United States House of Representatives Committee on Energy and Commerce Minority Staff. URL: https://hero.epa.gov/hero/index.cfm/reference/details/reference_id/2079174","03/22/2017","03/22/2017",,,
"triethylene glycol","1,2-bis(2-hydroxyethoxy)ethane; 2,2'-(1,2-ethanediylbis(oxy))bisethanol; 2,2'-ethylenedioxybis(ethanol);","112-27-6","Kassotis CD, Klemp KC, Vu DC, Lin CH, Meng CX, Besch-Williford CL, Pinatti L, Zoeller RT, Drobnis EZ, Balise VD, and Isiguzo CJ, 2015. Endocrine-disrupting activity of hydraulic fracturing chemicals and adverse health outcomes after prenatal exposure in male mice. Endocrinology, 156(12), pp.4458-4473. DOI: 10.1210/en.2015-1375. URL: https://academic.oup.com/endo/article/156/12/4458/2422671","Antimicrobial, Byproduct/Intermediate/Reactant, Food additives and contact material, Household product ingredient, Medical/Veterinary/Research, Personal care product/Cosmetic ingredient, Pesticide ingredient, Plastic/Rubber, Solvent, Unconventional Oil and Gas","US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB  Waxman HA, Markey EJ, and DeGette D. 2011. Chemicals used in hydraulic fracturing. United States House of Representatives Committee on Energy and Commerce Minority Staff. URL: https://hero.epa.gov/hero/index.cfm/reference/details/reference_id/2079174","03/22/2017","03/22/2017",,,
"triflumizole"," ","68694-11-1","Kojima H, Katsura E, Takeuchi S, Niiyama K, Kobayashi K. 2004. Screening for estrogen and androgen receptor activities in 200 pesticides by in vitro reporter gene assays using Chinese hamster ovary cells. Environ Health Perspect 112(5):524-531. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1241915/  Li X, Pham HT, Janesick AS, Blumberg B. 2012. Triflumizole is an obesogen in mice that acts through peroxisome proliferator activated receptor gamma (PPARgamma). Environ Health Perspect 120(12):1720-1726. DOI: 10.1289/ehp.1205383. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3548286/","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US EPA. 2007 Aug. Triflumizole Summary Document including Preliminary Work Plan Document. docket ID: EPA-HQ-OPP-2006-0115. URL: https://www.regulations.gov/document?D=EPA-HQ-OPP-2006-0115-0027&oldLink=false","05/05/2011","09/18/2017",,,
"trifluralin"," ","1582-09-8","Couch JA. 1984. Histopathology and enlargement of the pituitary of a teleost exposed to the herbicide trifluralin. Journal of Fish Diseases 7(2):157-163. DOI: 10.1111/j.1365-2761.1984.tb00918.x. URL: http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2761.1984.tb00918.x/full  Hurley PM, Hill RN, Whiting RJ. 1998. Mode of carcinogenic action of pesticides inducing thyroid follicular cell tumors in rodents [review]. Environ Health Perspect 106(8):437-445. DOI: 10.2307/3434175 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1533205/  Orton F, Lutz I, Kloas W, Routledge EJ. 2009. Endocrine disrupting effects of herbicides and pentachlorophenol: in vitro and in vivo evidence. Environ Sci Technol 43(6):2144-2150. DOI: 10.1021/es8028928. URL: http://pubs.acs.org/doi/abs/10.1021/es8028928","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","04/27/2015",,,
"trihydroxy-methoxychlor"," ","n/a","Gaido KW, Maness SC, McDonnell DP, Dehal SS, Kupfer D, Safe S. 2000. Interaction of methoxychlor and related compounds with estrogen receptor [alpha] and [beta], and androgen receptor: structure-activity studies. Mol Pharmacol 58(4):852-858. DOI: 10.1124/mol.58.4.852 . URL: http://molpharm.aspetjournals.org/content/58/4/852.long","Metabolite/Degradate","Kupfer D, Bulger WH, Theoharides AD. 1990. Metabolism of methoxychlor by hepatic P-450 monooxygenases in rat and human. 1. Characterization of a novel catechol metabolite. Chem Res Toxicol 3(1):8-16. DOI: 10.1021/tx00013a002. URL: https://pubs.acs.org/doi/abs/10.1021/tx00013a002","05/05/2011","05/05/2011",,,
"trimethoxy-methoxychlor"," ","n/a","Gaido KW, Maness SC, McDonnell DP, Dehal SS, Kupfer D, Safe S. 2000. Interaction of methoxychlor and related compounds with estrogen receptor [alpha] and [beta], and androgen receptor: structure-activity studies. Mol Pharmacol 58(4):852-858. DOI: 10.1124/mol.58.4.852 . URL: http://molpharm.aspetjournals.org/content/58/4/852.long","Medical/Veterinary/Research","Gaido KW, Maness SC, McDonnell DP, Dehal SS, Kupfer D, Safe S. 2000. Interaction of methoxychlor and related compounds with estrogen receptor [alpha] and [beta], and androgen receptor: structure-activity studies. Mol Pharmacol 58(4):852-858. DOI: 10.1124/mol.58.4.852. URL: http://molpharm.aspetjournals.org/content/58/4/852.long","05/05/2011","05/05/2011",,,
"trinitrotoluene","TNT; 2,4,6-trinitrotoluene","118-96-7","Levine BS, Furedi EM, Gordon DE, Lish PM, Barkley JJ. 1984. Subchronic toxicity of trinitrotoluene in Fischer 344 rats. Toxicology 32(3):253-265. DOI: 10.1016/0300-483X(84)90078-7. URL: https://www.sciencedirect.com/science/article/pii/0300483X84900787  Li Y, Jiang Q-G, Yao S-Q, Liu W, Tian G-J, Cui J-W. 1993. Effects of exposure to trinitrotoluene on male reproduction. Biomedical & Environmental Sciences 6(2):154-160. URL: https://www.ncbi.nlm.nih.gov/pubmed/8397898","Byproduct/Intermediate/Reactant","US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","05/05/2011",,,
"triphenyl phosphate","TPP; Phosphoric acid, triphenyl ester","115-86-6","Kojima H, Takeuchi S, Itoh T, Iida M, Kobayashi S, Yoshida T. 2013. In vitro endocrine disruption potential of organophosphate flame retardants via human nuclear receptors. Toxicology 314(1):76-83. DOI: 10.1016/j.tox.2013.09.004. URL: https://www.sciencedirect.com/science/article/pii/S0300483X13002412  Liu X, Ji K, Jo A, Moon HB, Choi K. 2013. Effects of TDCPP or TPP on gene transcriptions and hormones of HPG axis, and their consequences on reproduction in adult zebrafish (Danio rerio). Aquat Toxicol 134-135:104-111. DOI: 10.1016/j.aquatox.2013.03.013. URL: https://www.sciencedirect.com/science/article/pii/S0166445X13000714  Morisseau C, Merzlikin O, Lin A, He G, Feng W, Padilla I, Denison MS, Pessah IN, Hammock BD. 2009. Toxicology in the fast lane: application of high-throughput bioassays to detect modulation of key enzymes and receptors. Environ Health Perspect 117(12):1867-1872. DOI: 10.1289/ehp.0900834. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2799460/","Flame retardant, Industrial additive, Personal care product/Cosmetic ingredient, Pesticide ingredient, Plastic/Rubber, Unconventional Oil and Gas","Orem WH, Tatu CA, Lerch HE, Rice CA, Bartos TT, Bates AL, Tewalt S, Corum MD. 2007. Organic compounds in produced waters from coalbed natural gas wells in the Powder River Basin, Wyoming, USA. Appl Geochem 22(10):2240-2256. DOI: 10.1016/j.apgeochem.2007.04.010. URL: https://www.sciencedirect.com/science/article/pii/S0883292707001436  US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US EPA. InertFinder. URL: https://iaspub.epa.gov/apex/pesticides/f?p=INERTFINDER:1:0::NO:1::  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php","05/05/2011","03/20/2017",,,
"triphenyltin","TPT; fentin","892-20-6","Atanasov AG, Nashev LG, Tan S, Baker ME, Odermatt A. 2005. Organotins disrupt the 11[beta]-hydroxysteroid dehydrogenase type 2-dependent local inactivation of glucocorticoids. Environ Health Perspect 113(11):1600-1606. DOI: 10.1289/ehp.8209. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1310925/  Yamabe Y, Hoshino A, Imura N, Suzuki T, Himeno S. 2000. Enhancement of androgen-dependent transcription and cell proliferation by tributyltin and triphenyltin in human prostate cancer cells. Toxicol Appl Pharmacol 169(2):177-184. DOI: 10.1006/taap.2000.9067. URL: https://www.sciencedirect.com/science/article/pii/S0041008X00990677","Industrial additive, Pesticide ingredient","Atanasov AG, Nashev LG, Tan S, Baker ME, Odermatt A. 2005. Organotins disrupt the 11[beta]-hydroxysteroid dehydrogenase type 2-dependent local inactivation of glucocorticoids. Environ Health Perspect 113(11):1600-1606. DOI: 10.1289/ehp.8209. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1310925/  Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html","05/05/2011","04/27/2015",,,
"triphenyltin acetate","TPT acetate; fentin acetate","900-95-8","Snow RL, Hays RL. 1983. Phasic distribution of seminiferous tubules in rats treated with triphenyltin compounds. Bull Environ Contam Toxicol 31(6):658-665. DOI: 10.1007/BF01606042. URL: https://link.springer.com/article/10.1007/BF01606042","Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","06/16/2011","09/23/2013",,,
"triphenyltin chloride","TPT chloride; fentin chloride; chlorotriphenyltin; triphenylchlorotin; chlorotriphenylstannane","639-58-7","Duft M, Schulte-Oehlmann U, Tillmann M, Markert B, Oehlmann J. 2003. Toxicity of triphenyltin and tributyltin to the freshwater mudsnail Potamopyrgus antipodarum in a new sediment biotest. EnvironToxicol Chem 22(1):145-152. DOI: 10.1002/etc.5620220119. URL: http://onlinelibrary.wiley.com/doi/10.1002/etc.5620220119/full  Ema M, Miyawaki E, Harazono A, Ogawa Y. 1997. Effects of triphenyltin chloride on implantation and pregnancy in rats. Reprod Toxicol 11(2-3):201-206. DOI: 10.1016/S0890-6238(97)00007-5. URL: http://www.sciencedirect.com/science/article/pii/S0890623897000075  Kanayama T, Kobayashi N, Mamiya S, Nakanishi T, Nishikawa J. 2005. Organotin compounds promote adipocyte differentiation as agonists of the peroxisome proliferator-activated receptor [gamma]/retinoid X receptor pathway. Mol Pharmacol 67(3):766-774. DOI: 10.1124/mol.104.008409 . URL: http://molpharm.aspetjournals.org/content/67/3/766.long  Schulte-Oehlmann U, Tillmann M, Markert B, Oehlmann J, Watermann B, Scherf S. 2000. Effects of endocrine disruptors on prosobranch snails (Mollusca: Gastropoda) in the laboratory. Part II: triphenyltin as a xeno-androgen. Ecotoxicology 9(6):399-412. DOI: 10.1023/A:1008924602089. URL: https://link.springer.com/article/10.1023/A:1008924602089  Snow RL, Hays RL. 1983. Phasic distribution of seminiferous tubules in rats treated with triphenyltin compounds. Bull Environ Contam Toxicol 31(6):658-665. DOI: 10.1007/BF01606042. URL: https://link.springer.com/article/10.1007/BF01606042  Yanik, S.C., Baker, A.H., Mann, K.K. and Schlezinger, J.J., 2011. Organotins are potent activators of PPAR? and adipocyte differentiation in bone marrow multipotent mesenchymal stromal cells. Toxicological Sciences, 122(2), pp.476-488. DOI: 10.1093/toxsci/kfr140. URL: https://academic.oup.com/toxsci/article/122/2/476/1681341","Industrial additive, Pesticide ingredient","Compendium of Pesticide Common Names (CPCN). URL: http://www.alanwood.net/pesticides/index_cn_frame.html  US National Library of Medicine. Haz-Map. URL: http://hazmap.nlm.nih.gov/index.php  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","05/05/2011","09/24/2018",,,
"tris(1,3-dichloro-2-propyl)phosphate","TDCPP ","13674-87-8","Kojima H, Takeuchi S, Itoh T, Iida M, Kobayashi S, Yoshida T. 2013. In vitro endocrine disruption potential of organophosphate flame retardants via human nuclear receptors. Toxicology 314(1):76-83.  DOI: 10.1016/j.tox.2013.09.004. URL: https://www.sciencedirect.com/science/article/pii/S0300483X13002412  Liu X, Ji K, Jo A, Moon HB, Choi K. 2013. Effects of TDCPP or TPP on gene transcriptions and hormones of HPG axis, and their consequences on reproduction in adult zebrafish (Danio rerio). Aquat Toxicol 134-135:104-111.   DOI: 10.1016/j.aquatox.2013.03.013. URL: https://www.sciencedirect.com/science/article/pii/S0166445X13000714","Flame retardant, Industrial additive, Plastic/Rubber","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","11/02/2015","11/02/2015",,,
"tris(2-butoxyethyl) phosphate","TBEP ","78-51-3","Kojima H, Takeuchi S, Itoh T, Iida M, Kobayashi S, Yoshida T. 2013. In vitro endocrine disruption potential of organophosphate flame retardants via human nuclear receptors. Toxicology 314(1):76-83.  DOI: 10.1016/j.tox.2013.09.004. URL: https://www.sciencedirect.com/science/article/pii/S0300483X13002412","Flame retardant, Household product ingredient, Industrial additive, Plastic/Rubber","US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","11/02/2015","11/02/2015",,,
"tris(2-chloro-1-methylethyl)phosphate","TCPP; tri-(2-chloroisopropyl)phosphate  ","13674-84-5","Kojima H, Takeuchi S, Itoh T, Iida M, Kobayashi S, Yoshida T. 2013. In vitro endocrine disruption potential of organophosphate flame retardants via human nuclear receptors. Toxicology 314(1):76-83.  DOI: 10.1016/j.tox.2013.09.004. URL: https://www.sciencedirect.com/science/article/pii/S0300483X13002412","Byproduct/Intermediate/Reactant, Flame retardant, Household product ingredient, Industrial additive, Plastic/Rubber","US Dept of Health & Human Services. Household Products Database. URL: http://hpd.nlm.nih.gov/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","11/02/2015","11/02/2015",,,
"tris(2-chloroethyl) phosphate","trichloro ethyl phosphate;Phosphoric acid, trichloroethyl; Tris(2-chloroethyl)phosphate; tris(beta-chlroethyl)phosphate","115-96-8","Chen, G., Zhang, S., Jin, Y., Wu, Y., Liu, L., Qian, H. and Fu, Z., 2015. TPP and TCEP induce oxidative stress and alter steroidogenesis in TM3 Leydig cells. Reproductive Toxicology, 57, pp.100-110. DOI: 10.1016/j.reprotox.2015.05.011. URL: https://www.sciencedirect.com/science/article/pii/S0890623815001021  Hoffman, K., Lorenzo, A., Butt, C.M., Hammel, S.C., Henderson, B.B., Roman, S.A., Scheri, R.P., Stapleton, H.M. and Sosa, J.A., 2017. Exposure to flame retardant chemicals and occurrence and severity of papillary thyroid cancer: A case-control study. Environment international, 107, pp.235-242. DOI: 10.1016/j.envint.2017.06.021. URL: https://www.sciencedirect.com/science/article/pii/S0160412017306761  Matthews, H.B., Eustis, S.L. and Haseman, J., 1993. Toxicity and carcinogenicity of chronic exposure to tris (2-chloroethyl) phosphate. Fundamental and applied Toxicology, 20(4), pp.477-485. DOI: 10.1006/faat.1993.1058. URL: https://www.sciencedirect.com/science/article/pii/S0272059083710584  Wu, Y., Su, G., Tang, S., Liu, W., Ma, Z., Zheng, X., Liu, H. and Yu, H., 2017. The combination of in silico and in vivo approaches for the investigation of disrupting effects of tris (2-chloroethyl) phosphate (TCEP) toward core receptors of zebrafish. Chemosphere, 168, pp.122-130. DOI: 10.1016/j.chemosphere.2016.10.038. URL: https://www.sciencedirect.com/science/article/pii/S0045653516314217","Flame retardant, Food additives and contact material, Household product ingredient, Industrial additive, Plastic/Rubber","Groh, K.J., Backhaus, T., Carney-Almroth, B., Geueke, B., Inostroza, P.A., Lennquist, A., Maffini, M., Leslie, H.A., Slunge, D., Trasande, L. and Warhurst, M., 2018. Chemicals associated with plastic packaging: Inventory and hazards. PeerJ Preprints, 6, p.e27036v1. DOI: 10.7287/peerj.preprints.27036v1. URL: https://peerj.com/preprints/27036/  US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","09/26/2018",,,,
"tris(2-ethylhexyl)phosphate","TEHP; trioctyl phosphate ","78-42-2","Kojima H, Takeuchi S, Itoh T, Iida M, Kobayashi S, Yoshida T. 2013. In vitro endocrine disruption potential of organophosphate flame retardants via human nuclear receptors. Toxicology 314(1):76-83.  DOI: 10.1016/j.tox.2013.09.004. URL: https://www.sciencedirect.com/science/article/pii/S0300483X13002412","Flame retardant, Industrial additive, Plastic/Rubber, Solvent","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","11/02/2015","11/02/2015",,,
"tris(2-ethylhexyl)trimellitate","Totm; TEHTM","3319-31-1","ter Veld MGR, Schouten B, Louisse J, Van Es DS, Van Der Saag PT, Rietjens IMCM, Murk AJ. 2006. Estrogenic potency of food-packaging-associated plasticizers and antioxidants as detected in ERalpha and ERbeta reporter gene cell lines. Journal of Agricultural & Food Chemistry 54(12):4407-4416. DOI: 10.1021/jf052864f. URL: http://pubs.acs.org/doi/abs/10.1021/jf052864f","Plastic/Rubber","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","03/30/2018",,,,
